time_days,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cat,S_an,S_Fe2,S_EDTA,S_FeEDTA,X_FeS
0.11364337710954035,1.594654161279426,4.476085266645477e-05,0.041484100618213116,0.0002800098346314223,0.0002800098346314223,0.0006529979906830152,0.49257651523475005,3.4859347198984657e-34,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3405345838720564,0.9599964191317868,0.6035109539629067,0.5,0.4099439980330736,0.30794776016074515,0.2003711742382627,2.0000000600000005,0.01,0.01,0.008989878480421978,1.1122259901820871e-07,0.0009998887774009815,1.0232742177036685e-05
0.115666297861964,1.5328701658411341,3.239338625298541e-05,0.040800924132201,0.00025314121313930283,0.00025314121313930283,0.0005866509290082378,0.4924437673373891,3.3915104872740894e-34,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3467129834158855,0.9599974085290999,0.6035519445520675,0.5,0.40994937175737206,0.30795306792567906,0.20037781163313073,2.0000000600000005,0.01,0.01,0.008989696626394025,1.1122484907736901e-07,0.0009998887751509224,1.0414598455047182e-05
0.11768921861438765,1.4714137995561485,2.3447417298118608e-05,0.04012792765531632,0.00022884492690123517,0.00022884492690123517,0.0005270089761590334,0.49231102562448187,-1.0631694906259873e-34,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3528586200443837,0.9599981242066165,0.6035923243406807,0.5,0.40995423101461964,0.307957839281907,0.2003844487187761,2.0000000600000005,0.01,0.01,0.008989514776045473,1.112270998103427e-07,0.0009998887729001894,1.0596451054331997e-05
0.1197121393668113,1.4103273904728975,1.697243073446278e-05,0.03946499143478767,0.0002068757687968439,0.0002068757687968439,0.00047340140404667847,0.49217829031881155,2.6167744751479975e-35,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3589672609527088,0.9599986422055414,0.6036321005139124,0.5,0.40995862484624057,0.307962127887676,0.2003910854840596,2.0000000600000005,0.01,0.01,0.008989332929374422,1.1122934939435022e-07,0.0009998887706506054,1.077829997496558e-05
0.12173506011923495,1.3496564685482113,1.2283801900252109e-05,0.0388119962170193,0.00018701171383940984,0.00018701171383940984,0.0004252232568369281,0.4920455616211293,-2.7246842672641112e-36,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3650343531451776,0.959999017295848,0.6036712802269784,0.5,0.40996259765723203,0.3079659821394528,0.20039772191894373,2.0000000600000005,0.01,0.01,0.008989151086381458,1.1123159848578681e-07,0.000999888768401514,1.0960145217022332e-05
0.1237579808716586,1.2894500033113387,8.889694149984274e-06,0.03816882327210061,0.00016905176906390406,0.00016905176906390406,0.0003819291716125104,0.49191283971231464,-4.118193020448404e-37,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3710549996688646,0.959999288824468,0.6037098706036735,0.5,0.4099661896461871,0.30796944566627077,0.20040435801438441,2.0000000600000005,0.01,0.01,0.008988969247067735,1.1123384831752726e-07,0.000999888766151682,1.1141986780576656e-05
0.12578090162408223,1.2297606493778839,6.434091849364827e-06,0.037535354417618724,0.00015281400386864562,0.00015281400386864562,0.00034302770080425407,0.4917801247553452,1.4886101385103935e-37,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.37702393506221,0.9599994852726521,0.6037478787349424,0.5,0.40996943719922624,0.30797255778393545,0.20041099376223287,2.0000000600000005,0.01,0.01,0.008988787411432915,1.1123609862468656e-07,0.0009998887639013747,1.1323824665702969e-05
0.12848110713638233,1.1509913964336662,4.184514467779112e-06,0.03670471459405116,0.00013354048178856661,0.00013354048178856661,0.00029718640250135837,0.49160298720114487,2.026716038592907e-37,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3849008603566322,0.9599996652388428,0.6037977171243563,0.5,0.4099732919036422,0.3079762250877996,0.2004198506399429,2.0000000600000005,0.01,0.01,0.008988544701980194,1.1123910223097481e-07,0.0009998887608977684,1.1566537122033647e-05
0.13118131264868244,1.0733911156002645,2.725962607319408e-06,0.03589087706807512,0.00011669504393958292,0.00011669504393958292,0.00025745533607361855,0.491425862602623,-4.905480930450867e-38,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.3926608884399718,0.9599997819229914,0.603846547375915,0.5,0.409976660991212,0.307979403573114,0.20042870686986902,2.0000000600000005,0.01,0.01,0.00898830199908033,1.1124210513506026e-07,0.0009998887578948645,1.1809243024798783e-05
0.13388151816098254,0.997120423997289,1.7759170421681888e-06,0.03509356576097341,0.00010197242486407546,0.00010197242486407546,0.00022302394107300865,0.49124875122932976,1.1427186983826945e-38,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.4002879576002694,0.9599998579266366,0.603894386054341,0.5,0.40997960551502716,0.307982158084714,0.20043756243853367,2.0000000600000005,0.01,0.01,0.008988059302734037,1.1124510821546972e-07,0.000999888754891784,1.2051942374175331e-05
0.13658172367328264,0.9223551351545791,1.1551878941123592e-06,0.034312506653792985,8.91055911499538e-05,8.91055911499538e-05,0.00019318821443655736,0.4910716533159335,-1.5162886841087176e-39,0.1,0.1,0.05,0.1,10.0,8.0,6.0,1.4077644864845402,0.9599999075849687,0.6039412496007717,0.5,0.4099821788817699,0.30798454494284483,0.20044641733420349,2.0000000600000005,0.01,0.01,0.008987816612941549,1.1124811189442297e-07,0.0009998887518881054,1.2294635170340236e-05
